ID,Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
471ee652-80db-45ee-89ec-cd8431b74123,2016-06-27 00:00:00,6,0,0,0,0,0,7,13,0,0,0,0,0,26,10,8,6,8,5,6,6,4,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-06-28 00:00:00,0,0,0,0,0,0,1,5,16,4,2,9,11,19,21,0,0,12,9,0,10,15,14,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-06-29 00:00:00,0,0,0,0,0,0,0,14,20,0,5,3,8,17,11,0,24,3,0,6,10,0,0,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-06-30 00:00:00,21,0,0,0,0,0,0,0,19,13,0,20,31,9,12,0,4,7,9,0,18,20,13,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-01 00:00:00,0,0,0,0,1,0,23,1,0,16,12,0,10,6,18,0,0,16,9,1,7,0,8,7
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-05 00:00:00,0,1,0,0,0,0,21,5,0,0,0,3,17,11,34,4,7,0,20,56,9,20,14,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-07 00:00:00,0,0,0,0,0,0,23,9,0,0,0,0,18,8,18,17,11,0,22,0,10,37,7,5
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-08 00:00:00,0,0,1,0,0,0,12,6,14,1,42,2,5,6,16,6,4,0,0,1,4,0,7,6
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-11 00:00:00,0,0,0,0,1,0,8,7,8,22,0,3,20,16,11,1,15,7,19,0,0,1,25,5
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-12 00:00:00,1,0,0,0,0,0,10,5,27,37,1,8,9,5,17,0,14,0,0,10,30,12,15,7
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-13 00:00:00,0,0,0,0,0,0,0,15,2,1,0,28,1,14,4,0,6,6,1,0,10,9,5,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-19 00:00:00,0,0,0,0,0,0,8,5,1,5,19,1,5,3,16,0,18,0,0,4,6,6,0,17
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-20 00:00:00,1,0,0,0,0,0,0,50,44,15,0,0,14,11,18,6,3,4,16,16,14,19,24,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-21 00:00:00,0,0,0,0,0,0,12,25,24,32,22,6,16,2,20,6,6,10,0,12,1,3,20,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-25 00:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-26 00:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,5,1,0,14,0,15,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-27 00:00:00,0,0,0,0,1,0,10,13,0,0,32,1,0,6,16,0,0,17,1,61,5,11,19,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-28 00:00:00,9,0,0,0,0,0,14,14,0,18,10,17,10,13,71,18,11,17,12,0,1,7,5,11
471ee652-80db-45ee-89ec-cd8431b74123,2016-07-29 00:00:00,0,0,0,0,0,0,8,13,1,13,0,1,8,9,16,0,11,6,36,74,21,24,17,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-01 00:00:00,0,0,0,1,0,0,9,6,18,16,17,10,0,28,19,26,23,0,0,9,1,0,14,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-02 00:00:00,0,0,0,0,0,0,14,5,15,62,0,3,8,3,11,6,11,1,7,0,2,20,13,1
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-03 00:00:00,0,0,0,0,0,0,13,6,43,17,55,26,12,3,17,0,6,0,1,27,2,31,5,14
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-08 00:00:00,0,0,0,1,0,0,13,15,0,0,13,1,10,5,11,13,0,4,9,0,0,7,12,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-10 00:00:00,0,0,0,0,0,0,16,7,10,8,1,42,17,22,22,8,0,15,6,3,2,27,16,0
471ee652-80db-45ee-89ec-cd8431b74123,2016-08-11 00:00:00,0,0,0,0,0,0,6,7,8,4,28,37,11,2,19,0,7,8,0,5,2,25,8,7
